draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_atk.1,lambda_atk.2,lambda_atk.3,lambda_atk.4,lambda_def.1,lambda_def.2,lambda_def.3,lambda_def.4,theta.1,theta.2,theta.3,theta.4
0,-5.9281921740883945,0.6818909198500241,0.03474156963999406,2.0,5.0,1.0,12.43759260433418,5.926214535246049e-09,1.6202165725223222e-64,4.1701291426100096e-123,1.3537519370554854e-42,8.549390545717108e-14,0.007750797970512925,2.482647176708495e-07,3.6002126460891995e-05,3.371507629862428e-29,0.0003555891292187961,6.318209674096084e-60,7.633346664032609e-35
1,-5.9281921740883945,0.0,0.03474156963999406,0.0,1.0,1.0,12.659706104215655,5.926214535246049e-09,1.6202165725223222e-64,4.1701291426100096e-123,1.3537519370554854e-42,8.549390545717108e-14,0.007750797970512925,2.482647176708495e-07,3.6002126460891995e-05,3.371507629862428e-29,0.0003555891292187961,6.318209674096084e-60,7.633346664032609e-35
2,-6.20503842600624,0.7941843110699258,0.03474156963999406,2.0,6.0,1.0,8.794087166599969,1.5182499421453712e-10,3.3697548523660627e-65,6.942236281416654e-123,1.954032938439542e-41,6.640195381918657e-14,0.0032940008887239296,2.802398073054122e-06,4.1922933590201015e-07,5.332373518155224e-32,0.00018784858124221203,2.5368278919232264e-61,3.767789751616371e-40
3,-5.654177547390873,0.9265607147614923,0.03474156963999406,3.0,14.0,1.0,15.619819776647848,1.6835039146434046e-13,5.530797309880856e-57,3.9407006773625756e-122,3.348843610710822e-27,1.0076084234242405e-14,0.010544307878875017,9.821992141917822e-07,0.0007480344179239525,4.057531418051923e-37,0.0002555814339948395,2.7429555122594913e-49,5.561016834665096e-46
4,-3.8436300478291514,0.8888714891986135,0.03474156963999406,3.0,9.0,1.0,12.312730836215358,0.00017221813499288842,2.707357965935555e-44,8.892689961124575e-114,2.322946693330865e-37,5.1328186017427175e-15,0.00012268055695413316,8.942743495364455e-07,2.8155845078868307e-05,6.091540833188096e-35,0.05427413124912398,2.479708216915925e-49,1.8403518603552284e-33
5,-5.664264265844736,0.037183930679394434,0.03474156963999406,2.0,4.0,1.0,14.200139705648208,5.331624326529659e-23,3.0707557560581104e-45,2.3112743673014165e-117,1.5095363027234915e-45,8.272446658202838e-15,3.863884373195459e-05,5.328259846334046e-08,5.625300425636361e-07,6.5477093907209005e-37,0.0008230140052345305,1.743414887813983e-45,1.1929354873340842e-32
6,-3.8916630722476384,0.6814463806692024,0.03474156963999406,5.0,63.0,0.0,8.037995020341896,0.0005655436021229185,3.483809294875132e-40,4.443069406904324e-116,5.268296258237227e-42,2.5121930202066665e-14,0.00019158502283853722,0.00023497046081263058,6.185990429139444e-05,1.1569140019761498e-48,8.489721619979086e-05,7.120854628176686e-27,1.4443390301220171e-38
7,-5.007762302617266,0.007966453767385214,0.03474156963999406,3.0,13.0,1.0,14.022092425348045,1.8184215154474217e-08,3.607504846298391e-42,4.862193352043364e-117,2.912894421487641e-44,4.604103346531862e-14,0.00010305156207684182,0.00020103472679603354,2.0690706433279255e-05,5.209262640997063e-47,1.7275942580847856e-05,2.5235711397891802e-26,3.534205115710621e-37
8,-4.961516501733286,0.7485478192563574,0.03474156963999406,3.0,15.0,1.0,12.611141382130214,1.0241209458344981e-10,1.1436400285040669e-43,2.347258582841927e-122,1.1739489780902144e-37,7.200579890889654e-13,4.245843699577512e-07,0.010962848407383232,2.2335473394846678e-05,4.22015236609915e-44,1.4907860817133307e-06,1.7552927965366445e-25,6.064863697296621e-36
9,-5.284461724772541,0.8726201452754796,0.03474156963999406,3.0,12.0,1.0,9.068668435226652,3.155338427221942e-10,9.624789176212694e-43,4.014195639422675e-126,6.555223054078133e-39,3.820271601137e-14,9.652671645525037e-07,0.013825998109950796,0.000547851239245863,3.690503019181321e-47,2.0149733497490532e-06,1.614113677667229e-30,5.5744717226088436e-39
10,-5.420682502360592,0.6137477621098903,0.03474156963999406,2.0,4.0,1.0,10.733523515775051,1.1716774409082439e-12,3.855834905450724e-46,6.023286849450285e-126,2.567547313229987e-39,1.733748416857291e-14,9.819707357942703e-07,0.013109001477854388,0.0014030972281564818,4.950829121231346e-47,3.8911301545856655e-06,1.1185170222447994e-30,4.241074177046665e-39
11,-5.405697083994596,0.7946013595868159,0.03474156963999406,2.0,6.0,1.0,9.557505490710883,6.368053083449924e-10,4.976799305117016e-48,4.57706553924924e-121,4.491041281103322e-44,7.102178197265659e-15,7.689930888124748e-07,0.0016518859095161053,0.06674085069059374,1.3177282870044416e-44,5.00898081493086e-08,1.6408384692867518e-30,1.7334056085400236e-40
12,-6.342644944591598,0.8691754390225722,0.03474156963999406,3.0,11.0,1.0,9.0820334235323,1.926870116709977e-09,1.936715206315015e-47,1.3138379502360723e-128,1.3047803692703339e-46,4.77781998977837e-16,1.4048380991962274e-06,1.8403425615254527e-05,1.2353104286910913e-05,3.9807378285669515e-52,9.692659245654323e-11,1.593698536566594e-45,1.9522120434221635e-40
13,-6.409638151425838,0.6790251551105151,0.03474156963999406,2.0,4.0,1.0,13.547998306069594,1.017294111338078e-06,7.362451515178782e-47,5.829314969286463e-131,7.166536645887904e-51,3.9825135108531086e-16,5.6605993400041214e-05,5.313246841822418e-08,1.0764601240283536e-07,8.73619145227531e-48,8.540220404395561e-14,9.950981328623862e-44,3.436101202466545e-42
14,-6.568257204790029,0.75,0.03474156963999406,2.0,4.0,1.0,10.872177047862731,1.4206542019062466e-08,5.783769202666421e-47,3.1464783377687096e-131,1.6057469858127689e-53,1.39347179711601e-15,6.057683061104742e-06,5.597428862117771e-07,9.391537507341126e-08,1.7232588641100724e-48,2.687529495361198e-13,9.967820847852351e-50,3.634689602436944e-42
15,-6.346060237402185,0.8,0.03474156963999406,2.0,5.0,1.0,8.387427972332587,2.82418278828842e-08,9.500220393967943e-48,9.00383937220712e-131,5.415158775477271e-54,1.1269822163950416e-15,1.5498560369167424e-06,3.872748755681181e-06,2.8586895640275506e-08,1.296341174460012e-50,1.3355676290013404e-12,1.3934929179656985e-51,1.028307224763397e-40
16,-6.346060237402185,0.326075561344969,0.03474156963999406,1.0,3.0,1.0,12.669329185659816,2.82418278828842e-08,9.500220393967943e-48,9.00383937220712e-131,5.415158775477271e-54,1.1269822163950416e-15,1.5498560369167424e-06,3.872748755681181e-06,2.8586895640275506e-08,1.296341174460012e-50,1.3355676290013404e-12,1.3934929179656985e-51,1.028307224763397e-40
17,-6.346060237402185,0.0,0.03474156963999406,0.0,1.0,1.0,14.866361039377914,2.82418278828842e-08,9.500220393967943e-48,9.00383937220712e-131,5.415158775477271e-54,1.1269822163950416e-15,1.5498560369167424e-06,3.872748755681181e-06,2.8586895640275506e-08,1.296341174460012e-50,1.3355676290013404e-12,1.3934929179656985e-51,1.028307224763397e-40
18,-6.40011292351619,0.6397364714561011,0.03474156963999406,3.0,11.0,1.0,11.740146087502922,6.230266230297139e-09,1.539106597296586e-45,1.2517594376063698e-133,2.6034196090970884e-36,4.497019598345292e-16,6.454494752372896e-05,4.104637105843919e-05,6.578255061749666e-08,1.886962888107086e-46,3.848917357844347e-13,9.28021641321127e-60,6.1172948976997415e-43
19,-7.090698211495464,0.7998010565557113,0.03474156963999406,5.0,33.0,1.0,12.452198475966517,4.16874310214267e-39,1.9557821667837513e-44,5.936949634928453e-143,3.14523445820484e-57,1.2120331990062727e-20,1.1018566679489187e-05,0.6989225215559433,8.45675107407865e-29,4.342220672463908e-38,2.481471762451077e-21,8.680693616410415e-39,1.0454393601508865e-08
20,-8.490517212428585,0.9382011976049249,0.03474156963999406,4.0,27.0,1.0,12.346483874256112,9.001051279481655e-41,1.997898405796802e-74,3.123098027669426e-158,2.005945531692865e-63,1.8741009012597526e-19,0.08372258061274286,1.4540539773731669e-05,1.1448683993352952e-27,1.7393387207656288e-37,4.350741140787307e-29,1.183185136886455e-44,3.910344618470254e-05
21,-8.396836528773065,0.9661748302087131,0.03474156963999406,4.0,30.0,1.0,13.22425326878798,4.9226925180254886e-36,2.3357827489795413e-82,1.481519308087093e-154,1.1885612226743167e-60,2.5104291264913514e-16,0.06763957519393415,0.00018787806910008388,7.22821712396656e-29,3.8008987159711155e-42,6.382828059453251e-29,1.540468136894262e-38,0.07453513831505894
22,-8.38165243851563,0.789314245159333,0.03474156963999406,3.0,11.0,1.0,11.664637217624879,4.482076619459777e-35,8.090365282117275e-82,3.319717652106537e-157,5.956473919172028e-63,7.932768746717213e-17,0.2750871293381455,3.179073453402234e-07,8.66348487160902e-31,1.425308270005961e-36,4.617378144645059e-29,1.091139445759423e-36,2.126891607449286e-07
23,-8.428753293622776,0.9156123812622359,0.03474156963999406,4.0,17.0,1.0,21.473942679588397,4.295429827363889e-37,2.346360282373892e-95,4.6007294035202104e-158,1.9912003217152533e-55,1.933183191303716e-20,1.0810826604132795,3.945442987155167e-06,5.015435064551e-32,1.8441241698176675e-36,1.3225289087846169e-23,8.152116995024102e-21,1.7552700877331153e-18
24,-8.27557920416507,0.8019974446786282,0.03474156963999406,4.0,17.0,1.0,13.883153951398803,1.1997548270135321e-55,3.857341340312247e-90,2.106045889686137e-154,7.234994956972797e-66,6.242140211292587e-18,0.25733952534534577,5.107704326077294e-14,2.6270563321078243e-26,1.5585893084920166e-26,7.457242903130318e-29,0.0005887234202904122,2.8441785825316117e-13
25,-8.346716370725062,0.9462640483431487,0.03474156963999406,4.0,19.0,1.0,14.870129618376563,1.7530642093551622e-49,7.925543125257891e-91,1.8135189121441653e-148,4.5890126109957426e-60,3.322482058453661e-18,5.329098394198838,1.8274193944615623e-15,6.956547281129481e-31,1.9795604347340402e-28,3.39541428530001e-30,4.556417550217723e-06,4.2821651800737266e-21
26,-6.919424513081594,0.9299516416545738,0.03474156963999406,4.0,22.0,1.0,17.07423999469179,3.577601515154125e-35,1.9031147310038026e-82,1.0427948358488605e-144,1.4971119935409133e-59,7.0753856862433615e-15,1.8964483788378226,4.425378392918744e-18,1.5976141728262822e-16,5.555400109006437e-17,4.4633370828503275e-24,8.397710554945207e-12,5.0853940225213133e-14
27,-6.734027430750871,0.8445482611470685,0.03474156963999406,3.0,9.0,1.0,15.196179181107489,5.792884494942723e-28,1.5229606098119322e-74,4.452608002709364e-138,3.5854743754224845e-58,6.479912894101617e-16,28.726815740359477,1.7926508935218624e-18,2.67837466796779e-17,4.4060193700307655e-20,6.819858544603645e-24,2.4089584675094777e-07,5.927331067110609e-18
